Name,CMC,Type,Color,Set,Collector Number,Rarity,Color Category,Status,Finish,Maybeboard,Image URL,Image Back URL,Tags,Notes,MTGO ID
"Isolated Chapel",0,"Land",BW,"md1","16",rare,l,Owned,Non-foil,false,,,"After Life","",
"Plains",0,"Basic Land - Plains",W,"cma","292",common,l,Owned,Non-foil,false,,,"After Life","",
"Plains",0,"Basic Land - Plains",W,"cma","292",common,l,Owned,Non-foil,false,,,"After Life","",
"Swamp",0,"Basic Land - Swamp",B,"jmp","59",common,l,Owned,Non-foil,false,,,"After Life","",
"Swamp",0,"Basic Land - Swamp",B,"jmp","59",common,l,Owned,Non-foil,false,,,"After Life","",
"Temple of Silence",0,"Land",WB,"ths","227",rare,l,Owned,Non-foil,false,,,"After Life","",50268
"Thriving Heath",0,"Land",W,"jmp","35",common,l,Owned,Non-foil,false,,,"After Life","",81817
"Plaguecrafter",3,"Creature - Human Shaman",B,"c19","126",uncommon,b,Owned,Non-foil,false,,,"Aristocrats","",77366
"Smothering Abomination",4,"Creature - Eldrazi",B,"bfz","99",rare,b,Owned,Non-foil,false,,,"Aristocrats","",58711
"Ghoulcaller Gisa",5,"Legendary Creature - Human Wizard",B,"jmp","236",mythic,b,Owned,Non-foil,false,,,"Aristocrats","",
"Claim the Firstborn",1,"Sorcery",R,"eld","118",uncommon,r,Owned,Non-foil,false,,,"Aristocrats","",78360
"Act of Treason",3,"Sorcery",R,"m12","121",common,r,Owned,Non-foil,false,,,"Aristocrats","",41225
"Anax, Hardened in the Forge",3,"Legendary Enchantment Creature - Demigod",R,"thb","125",uncommon,r,Owned,Non-foil,false,,,"Aristocrats","",79374
"Chandra, Acolyte of Flame",3,"Legendary Planeswalker - Chandra",R,"m20","126",rare,r,Owned,Non-foil,false,,,"Aristocrats","",73151
"Juri, Master of the Revue",2,"Legendary Creature - Human Shaman",BR,"cmr","602",uncommon,m,Owned,Non-foil,false,,,"Aristocrats","",
"Kroxa, Titan of Death's Hunger",2,"Legendary Creature - Elder Giant",BR,"sld","225",mythic,m,Owned,Non-foil,false,,,"Aristocrats","",
"Talisman of Indulgence",2,"Artifact",BR,"e01","91",uncommon,m,Owned,Non-foil,false,,,"Aristocrats","",
"Judith, the Scourge Diva",3,"Legendary Creature - Human Shaman",BR,"rna","185",rare,m,Owned,Non-foil,false,,,"Aristocrats","",71370
"Kolaghan's Command",3,"Instant",BR,"dtk","224",rare,m,Owned,Non-foil,false,,,"Aristocrats","",56082
"Mayhem Devil",3,"Creature - Devil",BR,"war","204",uncommon,m,Owned,Non-foil,false,,,"Aristocrats","",72014
"Falkenrath Aristocrat",4,"Creature - Vampire Noble",BR,"mm3","163",rare,m,Owned,Non-foil,false,,,"Aristocrats","",63315
"Witch's Oven",1,"Artifact",,"eld","237",uncommon,c,Owned,Non-foil,false,,,"Aristocrats","",78620
"Blackcleave Cliffs",0,"Land",BR,"som","224",rare,l,Owned,Non-foil,false,,,"Aristocrats","",38293
"Blightstep Pathway",0,"Land",BR,"slu","12",rare,l,Owned,Non-foil,false,,,"Aristocrats","",
"Blood Crypt",0,"Land - Swamp Mountain",BR,"rna","245",rare,l,Owned,Non-foil,false,,,"Aristocrats","",71530
"Dragonskull Summit",0,"Land",BR,"m11","223",rare,l,Owned,Non-foil,false,,,"Aristocrats","",37242
"Mountain",0,"Basic Land - Mountain",R,"2ed","298",common,l,Owned,Non-foil,false,,,"Aristocrats","",
"Mountain",0,"Basic Land - Mountain",R,"2ed","298",common,l,Owned,Non-foil,false,,,"Aristocrats","",
"Swamp",0,"Basic Land - Swamp",B,"jmp","59",common,l,Owned,Non-foil,false,,,"Aristocrats","",
"Swamp",0,"Basic Land - Swamp",B,"jmp","59",common,l,Owned,Non-foil,false,,,"Aristocrats","",
"Temple of Malice",0,"Land",BR,"bng","164",rare,l,Owned,Non-foil,false,,,"Aristocrats","",51563
"Thriving Moor",0,"Land",B,"jmp","37",common,l,Owned,Non-foil,false,,,"Aristocrats","",81821
"Dauntless Bodyguard",1,"Creature - Human Knight",W,"dom","14",uncommon,w,Owned,Non-foil,false,,,"Aurabian Knights","",67493
"Ethereal Armor",1,"Enchantment - Aura",W,"tsr","293",special,w,Owned,Non-foil,false,,,"Aurabian Knights","",
"Darksteel Mutation",2,"Enchantment - Aura",W,"cma","9",uncommon,w,Owned,Non-foil,false,,,"Aurabian Knights","",
"Knight of Meadowgrain",2,"Creature - Kithkin Knight",W,"lrw","28",uncommon,w,Owned,Non-foil,false,,,"Aurabian Knights","",28405
"Pacifism",2,"Enchantment - Aura",W,"jmp","125",common,w,Owned,Non-foil,false,,,"Aurabian Knights","",
"Worthy Knight",2,"Creature - Human Knight",W,"eld","36",rare,w,Owned,Non-foil,false,,,"Aurabian Knights","",78172
"Acclaimed Contender",3,"Creature - Human Knight",W,"eld","1",rare,w,Owned,Non-foil,false,,,"Aurabian Knights","",78088
"Banishing Light",3,"Enchantment",W,"khc","19",uncommon,w,Owned,Non-foil,false,,,"Aurabian Knights","",
"Danitha Capashen, Paragon",3,"Legendary Creature - Human Knight",W,"dom","12",uncommon,w,Owned,Non-foil,false,,,"Aurabian Knights","",67489
"Gift of Immortality",3,"Enchantment - Aura",W,"ths","14",rare,w,Owned,Non-foil,false,,,"Aurabian Knights","",50374
"Heliod's Pilgrim",3,"Creature - Human Cleric",W,"uma","19",common,w,Owned,Non-foil,false,,,"Aurabian Knights","",70111
"History of Benalia",3,"Enchantment - Saga",W,"dom","21",mythic,w,Owned,Non-foil,false,,,"Aurabian Knights","",67507
"Knight Exemplar",3,"Creature - Human Knight",W,"ddg","14",rare,w,Owned,Non-foil,false,,,"Aurabian Knights","",40236
"Angelic Destiny",4,"Enchantment - Aura",W,"m12","3",mythic,w,Owned,Non-foil,false,,,"Aurabian Knights","",41427
"The Circle of Loyalty",6,"Legendary Artifact",W,"eld","9",mythic,w,Owned,Non-foil,false,,,"Aurabian Knights","",78106
"Castle Ardenvale",0,"Land",W,"eld","238",rare,l,Owned,Non-foil,false,,,"Aurabian Knights","",78622
"Plains",0,"Basic Land - Plains",W,"cma","292",common,l,Owned,Non-foil,false,,,"Aurabian Knights","",
"Plains",0,"Basic Land - Plains",W,"cma","292",common,l,Owned,Non-foil,false,,,"Aurabian Knights","",
"Plains",0,"Basic Land - Plains",W,"cma","292",common,l,Owned,Non-foil,false,,,"Aurabian Knights","",
"Plains",0,"Basic Land - Plains",W,"cma","292",common,l,Owned,Non-foil,false,,,"Aurabian Knights","",
"Plains",0,"Basic Land - Plains",W,"cma","292",common,l,Owned,Non-foil,false,,,"Aurabian Knights","",
"Plains",0,"Basic Land - Plains",W,"cma","292",common,l,Owned,Non-foil,false,,,"Aurabian Knights","",
"Plains",0,"Basic Land - Plains",W,"cma","292",common,l,Owned,Non-foil,false,,,"Aurabian Knights","",
"Plains",0,"Basic Land - Plains",W,"cma","292",common,l,Owned,Non-foil,false,,,"Aurabian Knights","",
"Thriving Heath",0,"Land",W,"jmp","35",common,l,Owned,Non-foil,false,,,"Aurabian Knights","",81817
"Duskwielder",1,"Creature - Elf Berserker",B,"khm","91",common,b,Owned,Non-foil,false,,,"Blighted Forest","",87509
"Elderfang Disciple",2,"Creature - Elf Cleric",B,"khm","93",common,b,Owned,Non-foil,false,,,"Blighted Forest","",87515
"Elvish Doomsayer",2,"Creature - Elf Shaman",B,"cmr","120",common,b,Owned,Non-foil,false,,,"Blighted Forest","",85022
"Miara, Thorn of the Glade",2,"Legendary Creature - Elf Scout",B,"cmr","566",uncommon,b,Owned,Non-foil,false,,,"Blighted Forest","",
"Prowess of the Fair",2,"Tribal Enchantment - Elf",B,"lrw","136",uncommon,b,Owned,Non-foil,false,,,"Blighted Forest","",28785
"Skemfar Avenger",2,"Creature - Elf Berserker",B,"khm","109",rare,b,Owned,Non-foil,false,,,"Blighted Forest","",87547
"Eyeblight's Ending",3,"Tribal Instant - Elf",B,"dpa","25",common,b,Owned,Non-foil,false,,,"Blighted Forest","",34023
"Eyeblight Massacre",4,"Sorcery",B,"khc","49",uncommon,b,Owned,Non-foil,false,,,"Blighted Forest","",
"Nightshade Harvester",4,"Creature - Elf Shaman",B,"cmr","138",rare,b,Owned,Non-foil,false,,,"Blighted Forest","",85058
"Skemfar Shadowsage",4,"Creature - Elf Cleric",B,"khm","110",uncommon,b,Owned,Non-foil,false,,,"Blighted Forest","",87549
"Elvish Dreadlord",5,"Creature - Zombie Elf",B,"cmr","121",rare,b,Owned,Non-foil,false,,,"Blighted Forest","",85024
"Gilt-Leaf Winnower",5,"Creature - Elf Warrior",B,"ori","99",rare,b,Owned,Non-foil,false,,,"Blighted Forest","",57980
"Return Upon the Tide",5,"Sorcery",B,"khm","106",uncommon,b,Owned,Non-foil,false,,,"Blighted Forest","",87541
"Ruthless Winnower",5,"Creature - Elf Rogue",B,"khc","10",rare,b,Owned,Non-foil,false,,,"Blighted Forest","",
"Kindred Dominance",7,"Sorcery",B,"c17","18",rare,b,Owned,Non-foil,false,,,"Blighted Forest","",
"Swamp",0,"Basic Land - Swamp",B,"jmp","59",common,l,Owned,Non-foil,false,,,"Blighted Forest","",
"Swamp",0,"Basic Land - Swamp",B,"jmp","59",common,l,Owned,Non-foil,false,,,"Blighted Forest","",
"Swamp",0,"Basic Land - Swamp",B,"jmp","59",common,l,Owned,Non-foil,false,,,"Blighted Forest","",
"Swamp",0,"Basic Land - Swamp",B,"jmp","59",common,l,Owned,Non-foil,false,,,"Blighted Forest","",
"Swamp",0,"Basic Land - Swamp",B,"jmp","59",common,l,Owned,Non-foil,false,,,"Blighted Forest","",
"Swamp",0,"Basic Land - Swamp",B,"jmp","59",common,l,Owned,Non-foil,false,,,"Blighted Forest","",
"Swamp",0,"Basic Land - Swamp",B,"jmp","59",common,l,Owned,Non-foil,false,,,"Blighted Forest","",
"Swamp",0,"Basic Land - Swamp",B,"jmp","59",common,l,Owned,Non-foil,false,,,"Blighted Forest","",
"Swamp",0,"Basic Land - Swamp",B,"jmp","59",common,l,Owned,Non-foil,false,,,"Blighted Forest","",
"Thriving Moor",0,"Land",B,"jmp","37",common,l,Owned,Non-foil,false,,,"Blighted Forest","",81821
"Fervent Champion",1,"Creature - Human Knight",R,"eld","124",rare,r,Owned,Non-foil,false,,,"Bright Knights","",78374
"Red Sun's Zenith",1,"Sorcery",R,"mbs","74",rare,r,Owned,Non-foil,false,,,"Bright Knights","",39579
"Blood Knight",2,"Creature - Human Knight",R,"plc","115",uncommon,r,Owned,Non-foil,false,,,"Bright Knights","",26459
"Embereth Shieldbreaker",2,"Creature - Human Knight",R,"eld","122",uncommon,r,Owned,Non-foil,false,,,"Bright Knights","",78368
"Joust",2,"Sorcery",R,"eld","129",uncommon,r,Owned,Non-foil,false,,,"Bright Knights","",78384
"Rimrock Knight",2,"Creature - Dwarf Knight",R,"eld","137",common,r,Owned,Non-foil,false,,,"Bright Knights","",78402
"Bonecrusher Giant",3,"Creature - Giant",R,"eld","115",rare,r,Owned,Non-foil,false,,,"Bright Knights","",78352
"Varchild, Betrayer of Kjeldor",3,"Legendary Creature - Human Knight",R,"c18","28",rare,r,Owned,Non-foil,false,,,"Bright Knights","",
"Embereth Paladin",4,"Creature - Human Knight",R,"eld","121",common,r,Owned,Non-foil,false,,,"Bright Knights","",78366
"Ogre Errant",4,"Creature - Ogre Knight",R,"eld","132",common,r,Owned,Non-foil,false,,,"Bright Knights","",78392
"Syr Carah, the Bold",5,"Legendary Creature - Human Knight",R,"eld","145",uncommon,r,Owned,Non-foil,false,,,"Bright Knights","",78420
"Embercleave",6,"Legendary Artifact - Equipment",R,"eld","120",mythic,r,Owned,Non-foil,false,,,"Bright Knights","",78364
"Icon of Ancestry",3,"Artifact",,"m20","229",rare,c,Owned,Non-foil,false,,,"Bright Knights","",73357
"Sigiled Sword of Valeron",3,"Artifact - Equipment",,"m19","244",rare,c,Owned,Non-foil,false,,,"Bright Knights","",68651
"Deathrender",4,"Artifact - Equipment",,"lrw","255",rare,c,Owned,Non-foil,false,,,"Bright Knights","",28415
"Castle Embereth",0,"Land",R,"eld","239",rare,l,Owned,Non-foil,false,,,"Bright Knights","",78624
"Mountain",0,"Basic Land - Mountain",R,"2ed","298",common,l,Owned,Non-foil,false,,,"Bright Knights","",
"Mountain",0,"Basic Land - Mountain",R,"2ed","298",common,l,Owned,Non-foil,false,,,"Bright Knights","",
"Mountain",0,"Basic Land - Mountain",R,"2ed","298",common,l,Owned,Non-foil,false,,,"Bright Knights","",
"Mountain",0,"Basic Land - Mountain",R,"2ed","298",common,l,Owned,Non-foil,false,,,"Bright Knights","",
"Mountain",0,"Basic Land - Mountain",R,"2ed","298",common,l,Owned,Non-foil,false,,,"Bright Knights","",
"Mountain",0,"Basic Land - Mountain",R,"2ed","298",common,l,Owned,Non-foil,false,,,"Bright Knights","",
"Mountain",0,"Basic Land - Mountain",R,"2ed","298",common,l,Owned,Non-foil,false,,,"Bright Knights","",
"Mountain",0,"Basic Land - Mountain",R,"2ed","298",common,l,Owned,Non-foil,false,,,"Bright Knights","",
"Thriving Bluff",0,"Land",R,"jmp","33",common,l,Owned,Non-foil,false,,,"Bright Knights","",81813
"Vraska's Finisher",3,"Creature - Gorgon Assassin",B,"war","112",common,b,Owned,Non-foil,false,,,"Can't Touch This","",71830
"Archetype of Finality",6,"Enchantment Creature - Gorgon",B,"bng","58",uncommon,b,Owned,Non-foil,false,,,"Can't Touch This","",51809
"Fynn, the Fangbearer",2,"Legendary Creature - Human Warrior",G,"khm","170",uncommon,g,Owned,Non-foil,false,,,"Can't Touch This","",87679
"Bow of Nylea",3,"Legendary Enchantment Artifact",G,"ths","153",rare,g,Owned,Non-foil,false,,,"Can't Touch This","",50412
"Skullwinder",3,"Creature - Snake",G,"c20","189",uncommon,g,Owned,Non-foil,false,,,"Can't Touch This","",
"Deadly Allure",1,"Sorcery",BG,"dka","58",uncommon,m,Owned,Non-foil,false,,,"Can't Touch This","",43349
"Talisman of Resilience",2,"Artifact",BG,"c21","270",uncommon,m,Owned,Non-foil,false,,,"Can't Touch This","",89645
"Leyline Prowler",3,"Creature - Nightmare Beast",BG,"war","202",uncommon,m,Owned,Non-foil,false,,,"Can't Touch This","",72010
"Pharika, God of Affliction",3,"Legendary Enchantment Creature - God",BG,"sld","82",mythic,m,Owned,Non-foil,false,,,"Can't Touch This","",
"Pitiless Gorgon",3,"Creature - Gorgon",BG,"grn","218",common,m,Owned,Non-foil,false,,,"Can't Touch This","",69809
"Poison-Tip Archer",4,"Creature - Elf Archer",BG,"khc","90",uncommon,m,Owned,Non-foil,false,,,"Can't Touch This","",
"Reaper of the Wilds",4,"Creature - Gorgon",BG,"ddm","63",rare,m,Owned,Non-foil,false,,,"Can't Touch This","",52499
"Vraska, Swarm's Eminence",4,"Legendary Planeswalker - Vraska",BG,"war","236",uncommon,m,Owned,Non-foil,false,,,"Can't Touch This","",72078
"Back for More",6,"Instant",BG,"iko","177",uncommon,m,Owned,Non-foil,false,,,"Can't Touch This","",80363
"Gorgon Flail",2,"Artifact - Equipment",,"m10","211",uncommon,c,Owned,Non-foil,false,,,"Can't Touch This","",32907
"Blooming Marsh",0,"Land",BG,"kld","243",rare,l,Owned,Non-foil,false,,,"Can't Touch This","",61849
"Darkbore Pathway",0,"Land",BG,"khm","292",rare,l,Owned,Non-foil,false,,,"Can't Touch This","",
"Forest",0,"Basic Land - Forest",G,"ddr","35",common,l,Owned,Non-foil,false,,,"Can't Touch This","",
"Forest",0,"Basic Land - Forest",G,"ddr","35",common,l,Owned,Non-foil,false,,,"Can't Touch This","",
"Overgrown Tomb",0,"Land - Swamp Forest",BG,"rtr","243",rare,l,Owned,Non-foil,false,,,"Can't Touch This","",46507
"Swamp",0,"Basic Land - Swamp",B,"jmp","59",common,l,Owned,Non-foil,false,,,"Can't Touch This","",
"Swamp",0,"Basic Land - Swamp",B,"jmp","59",common,l,Owned,Non-foil,false,,,"Can't Touch This","",
"Temple of Malady",0,"Land",BG,"c21","323",rare,l,Owned,Non-foil,false,,,"Can't Touch This","",89751
"Thriving Grove",0,"Land",G,"jmp","34",common,l,Owned,Non-foil,false,,,"Can't Touch This","",81815
"Woodland Cemetery",0,"Land",BG,"isd","249",rare,l,Owned,Non-foil,false,,,"Can't Touch This","",42660
"Thoughtseize",1,"Sorcery",B,"ima","110",rare,b,Owned,Non-foil,false,,,"Contract From Below","",66099
"Arguel's Blood Fast",2,"Legendary Enchantment",B,"xln","90",rare,b,Owned,Non-foil,false,,,"Contract From Below","",65194
"Bitterblossom",2,"Tribal Enchantment - Faerie",B,"mm2","71",mythic,b,Owned,Non-foil,false,,,"Contract From Below","",57054
"Dreadhorde Invasion",2,"Enchantment",B,"war","86",rare,b,Owned,Non-foil,false,,,"Contract From Below","",71778
"Feed the Swarm",2,"Sorcery",B,"znr","102",common,b,Owned,Non-foil,false,,,"Contract From Below","",83167
"Scourge of the Skyclaves",2,"Creature - Demon",B,"znr","122",mythic,b,Owned,Non-foil,false,,,"Contract From Below","",83213
"Demonic Embrace",3,"Enchantment - Aura",B,"m21","95",rare,b,Owned,Non-foil,false,,,"Contract From Below","",81417
"Grim Tutor",3,"Sorcery",B,"m21","103",mythic,b,Owned,Non-foil,false,,,"Contract From Below","",81433
"Demonic Pact",4,"Enchantment",B,"ori","92",mythic,b,Owned,Non-foil,false,,,"Contract From Below","",57934
"Erebos, Bleak-Hearted",4,"Legendary Enchantment Creature - God",B,"thb","93",mythic,b,Owned,Non-foil,false,,,"Contract From Below","",79310
"Greed",4,"Enchantment",B,"leg","101",rare,b,Owned,Non-foil,false,,,"Contract From Below","",
"Spawn of Mayhem",4,"Creature - Demon",B,"rna","85",mythic,b,Owned,Non-foil,false,,,"Contract From Below","",71170
"Bloodgift Demon",5,"Creature - Demon",B,"c14","137",rare,b,Owned,Non-foil,false,,,"Contract From Below","",54979
"Doom Whisperer",5,"Creature - Nightmare Demon",B,"grn","69",mythic,b,Owned,Non-foil,false,,,"Contract From Below","",69511
"Lich's Mirror",5,"Artifact",,"fmb1","106",mythic,c,Owned,Non-foil,false,,,"Contract From Below","",
"Castle Locthwain",0,"Land",B,"eld","241",rare,l,Owned,Non-foil,false,,,"Contract From Below","",78628
"Swamp",0,"Basic Land - Swamp",B,"jmp","59",common,l,Owned,Non-foil,false,,,"Contract From Below","",
"Swamp",0,"Basic Land - Swamp",B,"jmp","59",common,l,Owned,Non-foil,false,,,"Contract From Below","",
"Swamp",0,"Basic Land - Swamp",B,"jmp","59",common,l,Owned,Non-foil,false,,,"Contract From Below","",
"Swamp",0,"Basic Land - Swamp",B,"jmp","59",common,l,Owned,Non-foil,false,,,"Contract From Below","",
"Swamp",0,"Basic Land - Swamp",B,"jmp","59",common,l,Owned,Non-foil,false,,,"Contract From Below","",
"Swamp",0,"Basic Land - Swamp",B,"jmp","59",common,l,Owned,Non-foil,false,,,"Contract From Below","",
"Swamp",0,"Basic Land - Swamp",B,"jmp","59",common,l,Owned,Non-foil,false,,,"Contract From Below","",
"Thriving Moor",0,"Land",B,"jmp","37",common,l,Owned,Non-foil,false,,,"Contract From Below","",81821
"Westvale Abbey",0,"Land",B,"soi","281",rare,l,Owned,Non-foil,false,,,"Contract From Below","",59810
"Bonfire of the Damned",1,"Sorcery",R,"mm3","91",mythic,r,Owned,Non-foil,false,,,"Dance With The Devils","",63345
"Devil's Play",1,"Sorcery",R,"ddk","72",rare,r,Owned,Non-foil,false,,,"Dance With The Devils","",48121
"Firebolt",1,"Sorcery",R,"dd2","49",common,r,Owned,Non-foil,false,,,"Dance With The Devils","",31590
"Vexing Devil",1,"Creature - Devil",R,"uma","154",rare,r,Owned,Non-foil,false,,,"Dance With The Devils","",70381
"Fiery Temper",3,"Instant",R,"uma","129",common,r,Owned,Non-foil,false,,,"Dance With The Devils","",70331
"Make Mischief",3,"Sorcery",R,"emn","135",common,r,Owned,Non-foil,false,,,"Dance With The Devils","",61186
"Sin Prodder",3,"Creature - Devil",R,"soi","181",rare,r,Owned,Non-foil,false,,,"Dance With The Devils","",59914
"Tibalt, Rakish Instigator",3,"Legendary Planeswalker - Tibalt",R,"plist","324",uncommon,r,Owned,Non-foil,false,,,"Dance With The Devils","",
"Zurzoth, Chaos Rider",3,"Legendary Creature - Devil",R,"jmp","27",rare,r,Owned,Non-foil,false,,,"Dance With The Devils","",81801
"Dance with Devils",4,"Instant",R,"jmp","306",uncommon,r,Owned,Non-foil,false,,,"Dance With The Devils","",
"Hellrider",4,"Creature - Devil",R,"dka","93",rare,r,Owned,Non-foil,false,,,"Dance With The Devils","",43185
"Wildfire Devils",4,"Creature - Devil",R,"c19","30",rare,r,Owned,Non-foil,false,,,"Dance With The Devils","",77114
"Diabolical Salvation",6,"Instant",R,"htr17","1",mythic,r,Owned,Non-foil,false,,,"Dance With The Devils","",
"Fiendish Duo",6,"Creature - Devil",R,"gn2","4",mythic,r,Owned,Non-foil,false,,,"Dance With The Devils","",79706
"Bedlam Reveler",8,"Creature - Devil Horror",R,"emn","118",rare,r,Owned,Non-foil,false,,,"Dance With The Devils","",61224
"Mountain",0,"Basic Land - Mountain",R,"2ed","298",common,l,Owned,Non-foil,false,,,"Dance With The Devils","",
"Mountain",0,"Basic Land - Mountain",R,"2ed","298",common,l,Owned,Non-foil,false,,,"Dance With The Devils","",
"Mountain",0,"Basic Land - Mountain",R,"2ed","298",common,l,Owned,Non-foil,false,,,"Dance With The Devils","",
"Mountain",0,"Basic Land - Mountain",R,"2ed","298",common,l,Owned,Non-foil,false,,,"Dance With The Devils","",
"Mountain",0,"Basic Land - Mountain",R,"2ed","298",common,l,Owned,Non-foil,false,,,"Dance With The Devils","",
"Mountain",0,"Basic Land - Mountain",R,"2ed","298",common,l,Owned,Non-foil,false,,,"Dance With The Devils","",
"Mountain",0,"Basic Land - Mountain",R,"2ed","298",common,l,Owned,Non-foil,false,,,"Dance With The Devils","",
"Mountain",0,"Basic Land - Mountain",R,"2ed","298",common,l,Owned,Non-foil,false,,,"Dance With The Devils","",
"Mountain",0,"Basic Land - Mountain",R,"2ed","298",common,l,Owned,Non-foil,false,,,"Dance With The Devils","",
"Thriving Bluff",0,"Land",R,"jmp","33",common,l,Owned,Non-foil,false,,,"Dance With The Devils","",81813
